RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT,RCP_IMG_URL
7016813,멸치육수 소고기 떡국 만드는법,소고기떡국,ranch6356,반이짝이,743,0,2,끓이기,명절,소고기,국/탕,새해가 되면 뜨끈한 떡국 한 그릇이 생각나는데요. 오늘은 집에서 간단하게 요리할 수 있는 멸치육수로 끓이는법을 준비했어요.,[재료] 떡국떡 400 g | 다진소고기 100 g | 멸치육수 800 ml | 대파 1/3 대 | 계란 2 개 | 참기름 1 T | 국간장 1 T | 참기름 1/2 T | 다진마늘 1 t | 소금   | 김가루  약간 ,2인분,초급,,20240101000857,https://recipe1.ezmember.co.kr/cache/recipe/2024/01/01/cde5869c3bbfef2378fdd31b25a67cb11.jpg
7016814,#수육용삼겹살 #된장수육만들기 #일상먹거리 #무생채와함께먹는된장수육,된장수육,kstencil,강철새잎,1396,0,1,삶기,술안주,돼지고기,메인반찬,수육용 삼겹살을 사다가 된장과 술을 넣고 일상먹거리 수육한접시를 만들어 주었습니다.  지난번에 수육과 함께 먹으려고 만들어 놓았던 무생채와 더불어 구입한 홍어무침이랑 같이 먹으면 딱 좋겠다 싶었습니다.  수육도 잘되었고 무생채도 잘 되었는데  패착은 바로 홍어무침이였습니다.  나중에는 이것이 홍어가 맞을까??? 가오리가 아닐까??? 하는 의구심마져 들 정도였습니다. 홍어무침을 하게 되면 집안에 홍어냄새가 진동을 하는데 온집안에 짠내가 그득그득합니다. ㅋㅋㅋㅋ,[재료] 돼지고기 수육용삼겹살 500 g | 된장 1.5 큰술 | 술 4 큰술 | 홍어무침   | 무생채   | 콩나물무침   ,2인분,아무나,2시간이내,20240101002917,https://recipe1.ezmember.co.kr/cache/recipe/2023/12/31/c3f8ee5a69abb63b8dcadaa27003fe3c1.jpg
7016815,우거지감자탕 뼈해장국 끓이는법,우거지감자탕,87771622,김한솔,4008,0,29,끓이기,해장,돼지고기,국/탕,까다로운 남편의 입맛을 맞추기위해 여러번 시도끝에 만들어낸 최적의 레시피입니다. 한번 만들어먹어보시면 사먹는게 아까워요ㅠㅠ,[재료] 돼지등뼈 1.5 kg | 양파 1/2 개 | 감자 1 개 | 대파 1 대 | 알배기배추 1/2 개 | 청양고추 2 개 | 깻잎 10~15 장  [양념] 된장 2 T | 고추장 2 T | 다진마늘 1 T | 간장 3 T | 고춧가루 3 T | 액젓 3 T | 다진생강 1 t | 다시다 1 t | 들깨가루 3 T ,4인분,중급,2시간이내,20240101020501,https://recipe1.ezmember.co.kr/cache/recipe/2024/01/01/fdf645182aa988e49cb5d525c3c16d791.jpg
7016816,만두전골 레시피 백종원 만두 전골요리 뜨끈하고 진한 국물이 일품,만두전골,aeaelove,춤추는루나,6350,0,6,끓이기,손님접대,가공식품류,국/탕,속이 꽉 찬 만두가 듬뿍 푸짐한 백종원 만두전골 만두전골 레시피 만두 요리는 다양한데 그중에서도 전골식으로 끓여 낸 백종원 만두전골이 제일 맛있어요. 국물이 진하고 얼큰해서 더욱 맛있는 백종원 만두전골 레시피 지금부터 시작할게요.,[재료] 만두 12 개 | 청경채 3 개 | 양파 1/2 개 | 대파 1/2 개 | 느타리버섯 100 g | 홍고추  약간  [만두전골 육수] 코인 육수 2 개 | 다시마 4 개 | 물 1 L  [전골요리 양념장] 고춧가루 1 T | 국간장 2 T | 참치 액 1 T | 다진 마늘 1 T | 통후추 20 바퀴 ,4인분,초급,60분이내,20240101073609,https://recipe1.ezmember.co.kr/cache/recipe/2024/01/01/473cafede6fe9ce9e214d1c80b6a74fd1.jpg
7016817,새해 통삼겹살 무수분 보쌈 삶는법 백종원 보쌈 마늘소스 만들기,무수분보쌈,aeaelove,춤추는루나,1829,0,6,삶기,손님접대,돼지고기,메인반찬,촉촉하고 부드러운 통삼겹살 무수분 보쌈 삶는법 무수분 보쌈 삶는 시간 백종원 보쌈 마늘소스 만들기 가져왔어요. 식당에서 사 먹는 보쌈은 잡내 하나 없이 어쩜 그렇게 부드럽고 촉촉한지 집에서는 그 맛을 내기가 어렵더라고요. 그래서 여러 가지 방법으로 삶아보았어요. 막걸리에 넣고 삶아도 보고 압력솥에도 삶고 물론 막걸리  압력솥에 삶은 보쌈도 맛있어요. 그중에서 제 입맛에 가장 맛있었던 무수분 보쌈 삶는 법 알려드릴게요.,[재료] 통삼겹살 600 g | 양파 1 개 | 못난이 사과 小 2 개 | 대파 2 대 | 마늘 8 개 | 생강가루   | 월계수 잎 4~5 장 | 통후추  조금 | 맛술 1/2 컵  [보쌈 마늘소스 양념] 다진 마늘 4 T | 설탕 2 T | 꿀 2 T | 레몬즙 3 T | 올리브유 0.5 T ,4인분,초급,90분이내,20240101074507,https://recipe1.ezmember.co.kr/cache/recipe/2024/01/01/2bd01b53caee91edd2b5889b815881a01.jpg
7016818,#손두부요리 #두부짜박이만들기 #속초맛집따라하기 #가마솥손두부두부짜박이 #들기름,두부짜박이,kstencil,강철새잎,786,0,5,끓이기,일상,콩/견과류,찌개,속초여행에서 설악산을 구경하고 오면서 발견했던 가마솥손두부집!!  숙소로 와서 검색했더니 오호... 평도 좋고 오래된 집였죠. 메뉴 중에서 제일 유명하다고 하는 두부짜박이를 먹은 여행기는 올렸습니다.  먹으면서 맛분석도 하고 다음에 집에 돌아가면 꼬옥 해 묵자!!! 들기름도 있고 육젓도 있으니까 ^^  그래서 국산콩손두부를 구입해서 아주 간단하게 만들어 본 두부짜박이입니다. 새우젓과 고춧가루  다진마늘  그리고 육수  손두부만 있다면 손쉽게 두부짜박이를 집에서 만들어 드실 수 있어요. ㅎㅎㅎ,[재료] 국산콩 손두부 600 g | 한알 육수 2 알 | 새우젓 양념 2 큰술 | 고춧가루 1 큰술 | 다진마늘 1/2 큰술 | 파 7 큰술 | 들기름 3 큰술 | 물 700 ml  [새우젓양념재료] 육젓 5 큰술 | 고춧가루 3 큰술 | 다진마늘 2 큰술 ,4인분,아무나,60분이내,20240101084017,https://recipe1.ezmember.co.kr/cache/recipe/2024/01/01/e5291c033d174e9abe1e85c511f32b731.jpg
7016819,돼지 등갈비 바베큐 폭립 만드는법 돼지 등갈비구이,돼지등갈비구이,77721145,써지니,3421,0,8,굽기,일상,돼지고기,메인반찬,등갈비요리는 주로 매운찜으로 요리하여 먹다가 이번에는 색다르게 바베큐 폭립으로 만들어 먹어봤는데 짝꿍이 맛있다고 좋아했어요.(큰술: 밥 숟가락 기준),[재료] 돼지 등갈비 550 g | 올리브오일 2 큰술 | 통깨  살짝  [등갈비삶기] 물 1.2 L | 월계수잎 3~4 장 | 통후추 0.3 큰술 | 슬라이스 생강 15 g | 소주 3 큰술  [등갈비 바베큐 소스 만들기] 다진 마늘 1 큰술 | 돈까스소스 5 큰술 | 굴소스 0.5 큰술 | 식초 2 큰술 | 올리고당 3 큰술 | 고춧가루 0.3 큰술 | 노두유 0.5 큰술 ,2인분,아무나,60분이내,20240101084230,https://recipe1.ezmember.co.kr/cache/recipe/2023/12/26/3c0f9fde75e4703a18f14dc5bd91ca431.jpg
7016820,참치 카나페 만들기 카나페 핑거푸드 만드는 법 참치마요 카나페,참치카나페,77721145,써지니,4259,0,10,기타,일상,기타,디저트,간단하게 술안주 와인안주로 먹기 좋은 카나페 참치마요 카나페를 만들어봤어요.(큰술: 밥 숟가락 기준),[재료] 참치 1캔 85 g | 마요네즈 1 큰술 | 흰설탕 2~3 꼬집 | 후추  톡톡 | 체다 슬라이스 치즈 2 장 | 참크래커 1~2 봉지 | 귤 1 개 | 대추 방울 토마토 3 개 ,2인분,아무나,10분이내,20240101084413,https://recipe1.ezmember.co.kr/cache/recipe/2023/12/26/30287d0b7540816de0489668472e83871.jpg
7016821,시금치무침 만드는 법 레시피 시금치나물무침 ,시금치무침,77721145,써지니,396,0,3,무침,일상,채소류,밑반찬,겨울에는 시금치다 더 맛있기 때문에 밑반찬으로 시금치무침 시금치나물무침을 종종 만들어 먹고 있어요.(큰술: 밥 숟가락 기준),[재료] 시금치 203 g | 다진 마늘 0.3 큰술 | 대파 1 큰술 | 참치액 1 큰술 | 참기름 1.5 큰술 | 통깨  솔솔  [시금치 데치기] 물 1.5 L | 굵은소금 0.5 큰술 ,3인분,아무나,15분이내,20240101084551,https://recipe1.ezmember.co.kr/cache/recipe/2023/12/26/2e6a36fc21f7f4bb11fea79127789b101.jpg
7016822,초간단 계란국 끓이는법 팽이버섯 계란국,계란국,77721145,써지니,905,0,9,끓이기,일상,기타,국/탕,맑은국으로 냉장고에 있는 재료로 빠르게 끓일 수 있는 초간단 계란국을 끓여 부담없이 저녁국과 아침국으로 따뜻하게 먹었어요.(큰술: 밥 숟가락 기준),[재료] 계란 200 g | 팽이버섯 68 g | 대파 23 g | 다진 마늘 0.5 큰술 | 소금 1~2 꼬집 | 까나리액젓 1 큰술 | 후추  톡톡 | 코인 육수 2 개 | 물 800 ml ,3인분,아무나,15분이내,20240101084810,https://recipe1.ezmember.co.kr/cache/recipe/2023/12/28/de900d358081fa29242054726e9789991.jpg
